id,name,yomi,system_type,father_id,mother_id,spouse_id,child_ids,description,,
K237,天津彦根命,あまつひこねのみこと,天津神,K012,,,,,,天照大御神の第三子。凡河内氏・山代氏等の祖神。
K238,活津彦根命,いくつひこねのみこと,天津神,K012,,,,,,天照大御神の第四子。
K239,熊野櫲樟日命,くまのくすびのみこと,天津神,K012,,,,,,天照大御神の第五子。熊野大神の化身ともされる神。
K240,卜部祖神,うらべのそしん,天津神,,,,,,卜部氏（吉田神道）の祖神。神事を司る神。,
K241,国摩大鹿島命,くにまおおかしまのみこと,天津神,,,,,,卜部氏の遠祖。神事を司る神。,
K242,臣狭加命,おみさかのみこと,天津神,,,,,,大和の古社に祀られる開拓神。,
K243,天鳥船神,あめのとりふねのかみ,天津神,K010,K011,,,建御雷神とともに国譲りの交渉に向かった神。神の乗る船。,,
K244,高龗神,たかおかみのかみ,天津神,K010,,,,山上の祈雨・止雨を司る龍神（高淤加美神）。貴船神社主祭神。,,
K245,闇龗神,くらおかみのかみ,天津神,K010,,,,渓谷の水・祈雨を司る龍神（闇淤加美神）。,,
K246,罔象女神_別記,みづはのめのかみ_べっき,天津神,K010,,,,代表的な水の女神（丹生川上神社主祭神）。,,
K247,鳴雷神,なるいかづちのかみ,天津神,K015,,,,火の神から生まれた八雷神の一柱。雷鳴を司る。,,
K248,土雷神,つちいかづちのかみ,天津神,K015,,,,大地に落ちる雷・農業を潤す雷神。,,
K249,大雷神,おおいかづちのかみ,天津神,K015,,,,強力な雷の力を司る神。加茂雷神のルーツ。,,
K250,伊古奈比咩命,いこなひめのみこと,国津神,,,,,,伊豆諸島を開拓した三嶋大神（大山津見神）の妃神。白浜神社主祭神。,
K251,阿由比命,あゆひのみこと,国津神,,,,,,安房国（千葉）を開拓した忌部氏ゆかりの神。,
K252,天富命,あめのとみのみこと,天津神,K019,,,,太玉命の孫。阿波・安房を開拓し麻・貝を広めた産業神。,,
K253,天日鷲神,あめのひわしのかみ,天津神,,,,,,阿波忌部氏の祖神。麻を植えて紡績を興した産業の神。大鳥神社等。,
K254,長白羽神,ながしらはのかみ,天津神,,,,,,麻布を織り天照大御神に捧げた織物の神。,
K255,天日槍命,あめのひぼこのみこと,その他,,,,,,新羅から渡来した王子・神。但馬国を開拓。出石神社主祭神。,
K256,津速魂命,つちはやむすひのみこと,天津神,,,,,,卜部氏・中臣氏の遠祖とされる生成の神。,
K257,大熊大人命,おおくまとしのみこと,国津神,,,,,,常陸国（茨城）の開拓神。,
K258,筑紫国魂神,つくしのくにたまのかみ,国津神,,,,,,九州筑紫の国魂（土地の守護神）。,
K259,豊国魂神,とよくにたまのかみ,国津神,,,,,,豊国（福岡・大分）の土地を護る国魂の神。,
K260,伊予国魂神,いよくにたまのかみ,国津神,,,,,,伊予国（愛媛）の土地を守護する神。,
K261,讃岐国魂神,さぬきくにたまのかみ,国津神,,,,,,讃岐国（香川）の土地を守護する神。,
K262,粟国魂神,あわくにたまのかみ,国津神,,,,,,阿波国（徳島）の土地を守護する神。,
K263,火之夜藝速男神,ひのやぎはやおのかみ,天津神,K010,K011,,,迦具土神の別名。火の勢いを表す神。,,
K264,健磐龍命,たけいわたつのみこと,天津神,K064,,,,神武天皇の孫。阿蘇を開拓した阿蘇神社主祭神。,,
K265,阿蘇都媛命,あそつひめのみこと,国津神,,,,K264,,健磐龍命の妃神。阿蘇の土地を育んだ女神。,
K266,国龍神,くにたつのかみ,国津神,,,,,,阿蘇十二神の一柱。開拓・農業の神。,
K267,姫大神,ひめがみ,天津神,,,,,,八幡宮で応神天皇とともに祀られる高貴な女神（宗像三女神等の総称）。,
K268,大帯姫神,おおたらしひめのかみ,天津神,,,,,,神功皇后の別称。安産・勝運の神。,
K269,誉田別命,ほんだわけのみこと,天津神,K078,K079,,,応神天皇の神号。八幡大菩薩として全国の八幡神社に祀られる。,,
K270,稚宇迦之売神,わかうかのめのかみ,国津神,K046,,,,倉稲魂神とともに穀物の若々しい芽生えを司る神。,,
K271,大山咋神,おおやまくいのかみ,国津神,K047,,,,山王権現。日吉大社・松尾大社主祭神。醸造・山の神。,,
K272,鴨玉依姫命,かもたまよりひめのみこと,国津神,K084,,,,大山咋神の妃。山城国を開拓した女神。,,
K273,五十狭媛命,いかいひめのみこと,天津神,,,,,,古代の織物・衣料を司る女神。,
K274,猿田彦大神,さるたひこおおかみ,国津神,,,,,,みちひらきの大神。全国の猿田彦神社主祭神。,
K275,鹿島大神,かしまのおおかみ,天津神,,,,,,建御雷神の神号。東国武士の守護神。,
K276,香取大神,かとりのおおかみ,天津神,,,,,,経津主神の神号。国家安泰・勝運の神。,
K277,厳島大神,いつくしまのおおかみ,天津神,,,,,,市寸島比売命をはじめとする宗像三女神の総称。厳島神社主祭神。,
K278,熊野坐大神,くまのにますおおかみ,国津神,,,,,,家津御子神（素戔嗚尊）。熊野本宮大社主祭神。,
K279,熊野速玉男神,くまのはやたまおのかみ,天津神,,,,,,熊野速玉大社主祭神。結びの神。,
K280,熊野夫須美神,くまのふすみのかみ,天津神,,,,,,熊野那智大社主祭神。伊邪那美命と同神とされる万物生成の女神。,
K281,浅間大神,あさまのおおかみ,国津神,,,,,,木花之佐久夜毘売の神号。富士山の噴火を鎮める神。,
K282,諏訪大明神,すわだいみょうじん,国津神,,,,,,建御名方神の神号。軍神・風神・水の神。,
K283,出雲大神,いずもおおかみ,国津神,,,,,,大国主神の神号。福の神・大黒様。,
K284,大物忌神,おおものいみのかみ,国津神,,,,,,出羽国一宮・鳥海山大物忌神社主祭神。産業・勝運の神。,
K285,開拓三神,かいたくさんしん,天津神,,,,,,大国魂神・少彦名神・大穴牟遅神の総称。北海道神宮主祭神。,
K286,大国魂神,おおくにたまのかみ,国津神,,,,,,国土そのものの霊魂を神格化した神。国魂の総元締め。,
K287,瀬織津姫神_神社,せおりつひめのかみ_じんじゃ,天津神,,,,,,川の濁流で罪穢れを流し去る祓戸の女神（全国の神社祭神用）。,
K288,速開都比売神,はやあきつひめのかみ_じんじゃ,天津神,,,,,,海の底で罪穢れを呑み込む祓戸の女神。,
K289,気吹戸主神_神社,いぶきどぬしのかみ_じんじゃ,天津神,,,,,,根の国・底の国へ罪穢れを吹き飛ばす祓戸の神。,
K290,速佐須良比売神_神社,はやさすらひめのかみ_じんじゃ,天津神,,,,,,根の国で罪穢れを消し去る祓戸の女神。,
K291,櫛祖神,くしのやしろのかみ,天津神,,,,,,理髪・美容・手入れの職能を守護する神。,
K292,医薬祖神,いやくのそしん,天津神,,,,,,大穴牟遅神・少彦名神の総称。医療・医薬の祖神。,
K293,醸造祖神,じょうぞうのそしん,国津神,,,,,,大山咋神・少彦名神などの総称。酒造の神。,
K294,製鉄祖神,せいてつのそしん,天津神,,,,,,金山毘古神・金山毘売神など鉱山・金属の祖神。,
K295,染織祖神,せんしょくのそしん,天津神,,,,,,天服織女・長白羽神など織物・染色を護る神。,
K296,海人祖神,あまのそしん,国津神,,,,,,綿津見三神・阿曇氏祖神など航海・海産を護る神。,
K297,山林祖神,さんりんのそしん,天津神,,,,,,大山津見神・五十猛神など造林・木材を護る神。,
K298,土木祖神,どぼくのそしん,天津神,,,,,,五十瓊敷入彦命など治水・開発を推進した神。,
K299,温泉祖神,おんせんのそしん,国津神,,,,,,少彦名神・大国主神など全国の温泉を発見・効能を与えた神。,
K300,八百万神,やおよろずのかみ,その他,,,,,,日本全国に存在する目に見えぬ無数の神々・精霊の総称。,
